well,file,sample
A5,194-555-5,194-555-5
A9,194-555-9,194-555-9
B1,NA-blank-1,NA-blank-1
B5,NA-156-2,NA-156-2
B9,NA-373-3,NA-373-3
C1,194-555-2,194-555-2
C5,194-555-6,194-555-6
C9,194-555-10,194-555-10
D1,NA-555-1,NA-555-1
D5,NA-blank-2,NA-blank-2
D9,NA-156-3,NA-156-3
E1,194-555-3,194-555-3
E5,194-555-7,194-555-7
E9,194-555-11,194-555-11
F1,NA-373-1,NA-373-1
F5,NA-555-2,NA-555-2
F9,NA-blank-3,NA-blank-3
G1,194-555-4,194-555-4
G5,194-555-8,194-555-8
G9,194-555-12,194-555-12
H1,NA-156-1,NA-156-1
H5,NA-373-2,NA-373-2
H9,NA-555-3,NA-555-3
A1,194-555-1,194-555-1
A2,194-529-1,194-529-1
A3,194-529-2,194-529-2
A4,194-529-3,194-529-3
B2,194-373-1,194-373-1
B3,194-373-2,194-373-2
B4,194-373-3,194-373-3
C2,188-555-1,188-555-1
C3,188-555-2,188-555-2
C4,188-555-3,188-555-3
D2,188-373-1,188-373-1
D3,188-373-2,188-373-2
D4,188-373-3,188-373-3
E2,215-555-1,215-555-1
E3,215-555-2,215-555-2
E4,215-555-3,215-555-3
F2,215-373-1,215-373-1
F3,215-373-2,215-373-2
F4,215-373-3,215-373-3
G2,209-555-1,209-555-1
G3,209-555-2,209-555-2
G4,209-555-3,209-555-3
H2,209-373-1,209-373-1
H3,209-373-2,209-373-2
H4,209-373-3,209-373-3
A6,213-555-1,213-555-1
A7,213-555-2,213-555-2
A8,213-555-3,213-555-3
B6,213-373-1,213-373-1
B7,213-373-2,213-373-2
B8,213-373-3,213-373-3
C6,232-555-1,232-555-1
C7,232-555-2,232-555-2
C8,232-555-3,232-555-3
D6,232-373-1,232-373-1
D7,232-373-2,232-373-2
D8,232-373-3,232-373-3
E6,212-555-1,212-555-1
E7,212-555-2,212-555-2
E8,212-555-3,212-555-3
F6,212-373-1,212-373-1
F7,212-373-2,212-373-2
F8,212-373-3,212-373-3
G6,216-555-1,216-555-1
G7,216-555-2,216-555-2
G8,216-555-3,216-555-3
H6,216-373-1,216-373-1
H7,216-373-2,216-373-2
H8,216-373-3,216-373-3
A10,234-555-1,234-555-1
A11,234-555-2,234-555-2
A12,234-555-3,234-555-3
B10,234-373-1,234-373-1
B11,234-373-2,234-373-2
B12,234-373-3,234-373-3
C10,235-555-1,235-555-1
C11,235-555-2,235-555-2
C12,235-555-3,235-555-3
D10,235-373-1,235-373-1
D11,235-373-2,235-373-2
D12,235-373-3,235-373-3
E10,219-555-1,219-555-1
E11,219-555-2,219-555-2
E12,219-555-3,219-555-3
F10,219-373-1,219-373-1
F11,219-373-2,219-373-2
F12,219-373-3,219-373-3
G10,239-555-1,239-555-1
G11,239-555-2,239-555-2
G12,239-555-3,239-555-3
H10,239-373-1,239-373-1
H11,239-373-2,239-373-2
H12,239-373-3,239-373-3
